-0.16286498, 3.221954, 0.42528272
-1.2469972, 2.6799169, 6.7531815
-1.4068706, 2.1899152, 9.647033
-1.0908723, 1.7214198, 11.129188
-1.2763052, 1.1912193, 9.002988
-1.008303, 0.28286767, 9.0290985
-0.45026955, -0.093081504, 11.163298
0.34535706, 0.469145, 10.426975
0.47061324, 0.5930445, 9.804195
0.38357994, 0.526339, 9.72886
0.40415573, 0.5379197, 9.75618
0.39228573, 0.5314193, 9.750884
0.3911593, 0.535921, 9.755386
0.40527984, 0.5342528, 9.745804
0.3879141, 0.5358776, 9.750552
0.39211762, 0.540712, 9.745804
